,Country,Year,Species,Population
1,Bangladesh,2010,Bengal Tiger,440
2,Bhutan,2010,Bengal Tiger,75
3,Cambodia,2010,Indochinese Tiger,20
4,China,2010,South China Tiger,45
5,India,2010,Bengal Tiger,1706
6,Indonesia,2010,Sumatran Tiger,325
7,Lao PDR,2010,Indochinese Tiger,17
8,Malaysia,2010,Malayan Tiger,500
9,Mynamar,2010,Indochinese Tiger,85
10,Nepal,2010,Bengal Tiger,155
11,Russia,2010,Siberian/Amur Tiger,360
12,Thailand,2010,Indochinese Tiger,200
13,Vietnam,2010,Indochinese Tiger,20
14,India,2014,Bengal Tiger,2226
15,India,2006,Bengal Tiger,1411
16,India,2005,Bengal Tiger,2000
17,India,2001,Bengal Tiger,3642
18,India,1997,Bengal Tiger,3508
19,India,1993,Bengal Tiger,3705
20,India,1989,Bengal Tiger,4334
21,India,1984,Bengal Tiger,4005
22,India,1979,Bengal Tiger,3015
23,India,1972,Bengal Tiger,1827
24,Malaysia,2014,Malayan Tiger,300
25,Russia,2005,Siberian/Amur Tiger,500
26,Russia,2009,Siberian/Amur Tiger,500
27,Russia,1996,Siberian/Amur Tiger,450
28,Russia,1985,Siberian/Amur Tiger,420
29,Russia,1971,Siberian/Amur Tiger,130
30,Lao PDR,2016,Indochinese Tiger,2
31,Vietnam,2016,Indochinese Tiger,5
32,China,2016,South China Tiger,7
33,Bhutan,2016,Bengal Tiger,103
34,Bangladesh,2016,Bengal Tiger,106
35,Thailand,2016,Indochinese Tiger,189
36,Nepal,2016,Bengal Tiger,198
37,Malaysia,2016,Malayan Tiger,250
38,Indonesia,2016,Sumatran Tiger,371
39,Russia,2016,Siberian/Amur Tiger,433
40,India,2016,Bengal Tiger,2226
41,Cambodia,2016,Indochinese Tiger,0